analysis,model_building_context,source_code,feature_set,resampling_condition,model,model_label,parameters_used_for_model_fitting,parameter_source,note
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,no_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123; max_iter=5000,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,no_undersampling,rf,Random Forest,max_depth=5; n_estimators=200; random_state=123,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,no_undersampling,xgb,XGBoost,learning_rate=0.01; max_depth=3; n_estimators=200; random_state=123; verbosity=0,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,no_undersampling,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=50; random_state=123; verbosity=-1,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,random_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123; max_iter=5000,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,random_undersampling,rf,Random Forest,max_depth=15; n_estimators=200; random_state=123,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,random_undersampling,xgb,XGBoost,learning_rate=0.1; max_depth=7; n_estimators=50; random_state=123; verbosity=0,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,all46,random_undersampling,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=100; random_state=123; verbosity=-1,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,no_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123; max_iter=5000,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,no_undersampling,rf,Random Forest,max_depth=5; n_estimators=50; random_state=123,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,no_undersampling,xgb,XGBoost,learning_rate=0.01; max_depth=3; n_estimators=200; random_state=123; verbosity=0,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,no_undersampling,lgb,LightGBM,learning_rate=0.01; max_depth=3; n_estimators=100; random_state=123; verbosity=-1,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,random_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123; max_iter=5000,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,random_undersampling,rf,Random Forest,max_depth=10; n_estimators=100; random_state=123,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,random_undersampling,xgb,XGBoost,learning_rate=0.01; max_depth=3; n_estimators=200; random_state=123; verbosity=0,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,compact26,random_undersampling,lgb,LightGBM,learning_rate=0.01; max_depth=3; n_estimators=100; random_state=123; verbosity=-1,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,no_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123; max_iter=5000,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,no_undersampling,rf,Random Forest,max_depth=5; n_estimators=200; random_state=123,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,no_undersampling,xgb,XGBoost,learning_rate=0.01; max_depth=3; n_estimators=200; random_state=123; verbosity=0,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__no_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,no_undersampling,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=50; random_state=123; verbosity=-1,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,random_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123; max_iter=5000,grid search within this analysis,
feature_selection_sensitivity,feature_selection_sensitivity__random_undersampling,47_R3_03_FEATURE_SELECTION_SENSITIVITY/47_feature_selection_sensitivity.py,rfecv36,random_undersampling,rf,Random Forest,max_depth=10; n_estimators=100; random_state=123,grid search within this analysis,
