analysis,model_building_context,source_code,feature_set,resampling_condition,model,model_label,parameters_used_for_model_fitting,parameter_source,note
class_imbalance_sensitivity,imbalance_strategy_sensitivity__no_undersampling,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,no_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123; max_iter=5000,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__no_undersampling,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,no_undersampling,rf,Random Forest,max_depth=5; n_estimators=200; random_state=123,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__no_undersampling,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,no_undersampling,xgb,XGBoost,learning_rate=0.01; max_depth=7; n_estimators=50; random_state=123; verbosity=0,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__no_undersampling,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,no_undersampling,lgb,LightGBM,learning_rate=0.01; max_depth=7; n_estimators=50; random_state=123; verbosity=-1,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__random_undersampling,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,random_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123; max_iter=5000,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__random_undersampling,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,random_undersampling,rf,Random Forest,max_depth=5; n_estimators=50; random_state=123,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__random_undersampling,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,random_undersampling,xgb,XGBoost,learning_rate=0.2; max_depth=3; n_estimators=200; random_state=123; verbosity=0,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__random_undersampling,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,random_undersampling,lgb,LightGBM,learning_rate=0.2; max_depth=7; n_estimators=200; random_state=123; verbosity=-1,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__class_weighting,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,class_weighting,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123; max_iter=5000; class_weight=balanced,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__class_weighting,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,class_weighting,rf,Random Forest,max_depth=5; n_estimators=200; random_state=123; class_weight=balanced,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__class_weighting,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,class_weighting,xgb,XGBoost,learning_rate=0.01; max_depth=3; n_estimators=200; random_state=123; verbosity=0; scale_pos_weight=11.127272727272727,grid search within this analysis,
class_imbalance_sensitivity,imbalance_strategy_sensitivity__class_weighting,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,class_weighting,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=50; random_state=123; verbosity=-1; class_weight=balanced,grid search within this analysis,
class_imbalance_sensitivity,class-imbalance sensitivity model fitting,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,class_weighting,tabpfn,TabPFN,device=cpu; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
class_imbalance_sensitivity,class-imbalance sensitivity model fitting,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,no_undersampling,tabpfn,TabPFN,device=cpu; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
class_imbalance_sensitivity,class-imbalance sensitivity model fitting,48_R3_04_CLASS_IMBALANCE_SENSITIVITY/48_class_imbalance_sensitivity.py,submitted_rfecv36,random_undersampling,tabpfn,TabPFN,device=cpu; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
