analysis,model_building_context,source_code,feature_set,resampling_condition,model,model_label,parameters_used_for_model_fitting,parameter_source,note
submitted_primary_workflow,5-fold CV without under-sampling,notebook_code_py/07_CV_ORIGINAL.py,rfecv36,none,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,5-fold CV without under-sampling,notebook_code_py/07_CV_ORIGINAL.py,rfecv36,none,rf,Random Forest,max_depth=5; n_estimators=200; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,5-fold CV without under-sampling,notebook_code_py/07_CV_ORIGINAL.py,rfecv36,none,xgb,XGBoost,learning_rate=0.01; max_depth=3; n_estimators=200; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,5-fold CV without under-sampling,notebook_code_py/07_CV_ORIGINAL.py,rfecv36,none,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=50; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,final holdout without under-sampling,notebook_code_py/09_Final_ORIGINAL.py,rfecv36,none,tabpfn,TabPFN,device=cuda; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
submitted_primary_workflow,final holdout without under-sampling,notebook_code_py/09_Final_ORIGINAL.py,rfecv36,none,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,final holdout without under-sampling,notebook_code_py/09_Final_ORIGINAL.py,rfecv36,none,rf,Random Forest,max_depth=5; n_estimators=200; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,final holdout without under-sampling,notebook_code_py/09_Final_ORIGINAL.py,rfecv36,none,xgb,XGBoost,learning_rate=0.01; max_depth=3; n_estimators=200; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,final holdout without under-sampling,notebook_code_py/09_Final_ORIGINAL.py,rfecv36,none,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=50; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,under-sampled data preparation,notebook_code_py/06_Undersampling.py,rfecv36,random_undersampling,random_under_sampler,RandomUnderSampler,random_state=42,values explicitly passed in submitted model-building code,
submitted_primary_workflow,5-fold CV with random under-sampling,notebook_code_py/08_CV_UnderSampling.py,rfecv36,random_undersampling,tabpfn,TabPFN,device=cuda; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
submitted_primary_workflow,5-fold CV with random under-sampling,notebook_code_py/08_CV_UnderSampling.py,rfecv36,random_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=0,values explicitly passed in submitted model-building code,
submitted_primary_workflow,5-fold CV with random under-sampling,notebook_code_py/08_CV_UnderSampling.py,rfecv36,random_undersampling,rf,Random Forest,max_depth=10; n_estimators=100; random_state=0,values explicitly passed in submitted model-building code,
submitted_primary_workflow,5-fold CV with random under-sampling,notebook_code_py/08_CV_UnderSampling.py,rfecv36,random_undersampling,xgb,XGBoost,learning_rate=0.01; max_depth=7; n_estimators=50; random_state=0,values explicitly passed in submitted model-building code,
submitted_primary_workflow,5-fold CV with random under-sampling,notebook_code_py/08_CV_UnderSampling.py,rfecv36,random_undersampling,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=100; random_state=0,values explicitly passed in submitted model-building code,
submitted_primary_workflow,final holdout with random under-sampling,notebook_code_py/10_Final_UnderSampling.py,rfecv36,random_undersampling,tabpfn,TabPFN,device=cuda; N_ensemble_configurations=32; seed=0,fixed TabPFN settings; no hyperparameter tuning,
submitted_primary_workflow,final holdout with random under-sampling,notebook_code_py/10_Final_UnderSampling.py,rfecv36,random_undersampling,LR,Logistic Regression,C=0.001; penalty=none; solver=saga; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,final holdout with random under-sampling,notebook_code_py/10_Final_UnderSampling.py,rfecv36,random_undersampling,rf,Random Forest,max_depth=10; n_estimators=100; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,final holdout with random under-sampling,notebook_code_py/10_Final_UnderSampling.py,rfecv36,random_undersampling,xgb,XGBoost,learning_rate=0.01; max_depth=7; n_estimators=50; random_state=123,values explicitly passed in submitted model-building code,
submitted_primary_workflow,final holdout with random under-sampling,notebook_code_py/10_Final_UnderSampling.py,rfecv36,random_undersampling,lgb,LightGBM,learning_rate=0.01; max_depth=5; n_estimators=100; random_state=123,values explicitly passed in submitted model-building code,
